company,year,event_date,date_type,source
Cipla,FY2022-23,2023-07-18,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CIPLA; NSE fy 2022-2023; submissionDate 18-Jul-2023; https://nsearchives.nseindia.com/corporate/CIPLA_18072023235000_BRSRCiplaFY2023.pdf
Cipla,FY2023-24,2024-07-26,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CIPLA; NSE fy 2023-2024; submissionDate 26-Jul-2024; https://nsearchives.nseindia.com/corporate/CIPLA_26072024213241_CiplaBRSRFY202324signed.pdf
Coal India,FY2022-23,2023-08-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol COALINDIA; NSE fy 2022-2023; submissionDate 11-Aug-2023; https://nsearchives.nseindia.com/corporate/COALINDIA_11082023153330_BRSR23.pdf
Coal India,FY2023-24,2024-07-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol COALINDIA; NSE fy 2023-2024; submissionDate 27-Jul-2024; https://nsearchives.nseindia.com/corporate/COALINDIA_27072024144017_brsrfinal.pdf
Coforge,FY2022-23,2023-10-27,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol COFORGE; NSE fy 2022-2023; submissionDate 27-Oct-2023; https://nsearchives.nseindia.com/corporate/COFORGE_27102023151723_BRSR_Intimation.pdf
Coforge,FY2023-24,2024-08-01,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol COFORGE; NSE fy 2023-2024; submissionDate 01-Aug-2024; https://nsearchives.nseindia.com/corporate/COFORGE_01082024192514_BRSR_Intimation.pdf
Colgate India,FY2022-23,2023-07-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol COLPAL; NSE fy 2022-2023; submissionDate 10-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Colgate India,FY2023-24,2024-07-02,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol COLPAL; NSE fy 2023-2024; submissionDate 02-Jul-2024; https://nsearchives.nseindia.com/corporate/CPIL_02072024165347_SEIntimationBRSR.pdf
Cummins India,FY2022-23,2023-07-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CUMMINSIND; NSE fy 2022-2023; submissionDate 10-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Cummins India,FY2023-24,2024-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol CUMMINSIND; NSE fy 2023-2024; submissionDate 12-Jul-2024; https://nsearchives.nseindia.com/corporate/CUMMINSIND_12072024211154_SignedSEIntimationBRSRCombined.pdf
