company,sector,ticker,ticker_tracker,ticker_note,nse_symbol
Indian Oil Corporation,Oil & Gas,IOC.NS,IOC.NS,,IOC
Indus Towers,Telecom,INDUSTOWER.NS,INDUSTOWER.NS,,INDUSTOWER
IndusInd Bank,Banking,INDUSINDBK.NS,INDUSINDBK.NS,,INDUSINDBK
Infosys,IT,INFY.NS,INFY.NS,,INFY
JSW Steel,Metals & Mining,JSWSTEEL.NS,JSWSTEEL.NS,,JSWSTEEL
Jindal Steel,Metals & Mining,JINDALSTEL.NS,JINDALSTEL.NS,,JINDALSTEL
Kotak Mahindra Bank,Banking,KOTAKBANK.NS,KOTAKBANK.NS,,KOTAKBANK
LIC,Insurance,LICI.NS,LICI.NS,,LICI
LTIMindtree,IT,540005.BO,LTIM.NS,no Yahoo NSE quote; BSE scrip 540005 = L&T Infotech / LTIMindtree (BSE calendar),LTIM
LTTS,Infrastructure,LTTS.NS,LTTS.NS,,LTTS
Larsen & Toubro,Infra,LT.NS,LT.NS,,LT
Lupin,Pharma,LUPIN.NS,LUPIN.NS,,LUPIN
Mahindra & Mahindra,Auto,M&M.NS,M&M.NS,,M&M
Marico,FMCG,MARICO.NS,MARICO.NS,,MARICO
Maruti Suzuki,Auto,MARUTI.NS,MARUTI.NS,,MARUTI
Mphasis,IT,MPHASIS.NS,MPHASIS.NS,,MPHASIS
Muthoot Finance,Financial Services,MUTHOOTFIN.NS,MUTHOOTFIN.NS,,MUTHOOTFIN
NALCO,Metals & Mining,NATIONALUM.NS,NATIONALUM.NS,,NATIONALUM
NMDC,Metals & Mining,NMDC.NS,NMDC.NS,,NMDC
NTPC,Energy,NTPC.NS,NTPC.NS,,NTPC
Nestle India,FMCG,NESTLEIND.NS,NESTLEIND.NS,,NESTLEIND
ONGC,Energy,ONGC.NS,ONGC.NS,,ONGC
Oracle Financial,IT,OFSS.NS,OFSS.NS,,OFSS
PNB,Banking,PNB.NS,PNB.NS,,PNB
Paytm,Financial Services,PAYTM.NS,PAYTM.NS,,PAYTM
Persistent Systems,IT,PERSISTENT.NS,PERSISTENT.NS,,PERSISTENT
Pidilite,Consumer,PIDILITIND.NS,PIDILITIND.NS,,PIDILITIND
PolicyBazaar,Financial Services,POLICYBZR.NS,POLICYBZR.NS,,POLICYBZR
Power Grid,Energy,POWERGRID.NS,POWERGRID.NS,,POWERGRID
Reliance Industries,Energy,RELIANCE.NS,RELIANCE.NS,,RELIANCE
SAIL,Metals & Mining,SAIL.NS,SAIL.NS,,SAIL
SBI,Banking,SBIN.NS,SBIN.NS,,SBIN
SBI Life,Insurance,SBILIFE.NS,SBILIFE.NS,,SBILIFE
Shree Cement,Cement,SHREECEM.NS,SHREECEM.NS,,SHREECEM
Shriram Finance,Financial Services,SHRIRAMFIN.NS,SHRIRAMFIN.NS,,SHRIRAMFIN
Siemens India,Infrastructure,SIEMENS.NS,SIEMENS.NS,,SIEMENS
Sun Pharma,Pharma,SUNPHARMA.NS,SUNPHARMA.NS,,SUNPHARMA
TCS,IT,TCS.NS,TCS.NS,,TCS
TVS Motor,Auto,TVSMOTOR.NS,TVSMOTORS.NS,tracker typo; TVSMOTOR.NS is the NSE symbol,TVSMOTOR
Tata Consumer,FMCG,TATACONSUM.NS,TATACONSUM.NS,,TATACONSUM
Tata Motors,Auto,TMPV.NS,TATAMOTORS.NS,post-demerger successor carrying the pre-demerger Tata Motors Ltd history on Yahoo,TATAMOTORS
Tata Power,Energy,TATAPOWER.NS,TATAPOWER.NS,,TATAPOWER
Tata Steel,Metals & Mining,TATASTEEL.NS,TATASTEEL.NS,,TATASTEEL
Tech Mahindra,IT,TECHM.NS,TECHM.NS,,TECHM
Titan,Consumer,TITAN.NS,TITAN.NS,,TITAN
Torrent Pharma,Pharma,TORNTPHARM.NS,TORNTPHARM.NS,,TORNTPHARM
UltraTech Cement,Cement,ULTRACEMCO.NS,ULTRACEMCO.NS,,ULTRACEMCO
Vedanta Limited,Metals & Mining,VEDL.NS,VEDL.NS,,VEDL
Vodafone Idea,Telecom,IDEA.NS,IDEA.NS,,IDEA
Wipro,IT,WIPRO.NS,WIPRO.NS,,WIPRO
