company,year,LPS_finbert,OPS,zLPS,zOPS,GDS
LIC,FY2023-24,0.02049,0.984638,-0.702078,1.636024,-2.338102
LTIMindtree,FY2022-23,0.085826,0.582579,1.583812,0.901705,0.682107
LTIMindtree,FY2023-24,0.126042,0.639116,2.684833,1.031502,1.653331
LTTS,FY2022-23,0.037629,0.354217,-0.028355,0.523114,-0.55147
LTTS,FY2023-24,0.042226,0.355348,-0.004613,0.535026,-0.539639
Larsen & Toubro,FY2022-23,0.053021,-0.389557,0.486484,-0.709955,1.196439
Larsen & Toubro,FY2023-24,0.036642,-0.405596,-0.183787,-0.796313,0.612526
Lupin,FY2022-23,0.104413,-0.017797,2.205536,-0.093631,2.299167
Lupin,FY2023-24,0.065854,-0.091208,0.753565,-0.246264,0.999829
Mahindra & Mahindra,FY2022-23,0.03404,0.027137,-0.148407,-0.019136,-0.129271
Mahindra & Mahindra,FY2023-24,0.043051,0.000182,0.021867,-0.08637,0.108236
Marico,FY2022-23,0.04372,0.767015,0.175397,1.207473,-1.032076
Marico,FY2023-24,0.040737,0.520541,-0.052394,0.824045,-0.876439
Maruti Suzuki,FY2022-23,-0.022473,-0.284716,-2.038723,-0.536143,-1.50258
Maruti Suzuki,FY2023-24,0.02799,-0.292336,-0.461434,-0.598155,0.136721
Mphasis,FY2022-23,0.029103,0.502167,-0.313535,0.768393,-1.081928
Mphasis,FY2023-24,0.053688,0.485133,0.363164,0.762095,-0.39893
Muthoot Finance,FY2022-23,0.053487,0.410784,0.502075,0.616893,-0.114819
Muthoot Finance,FY2023-24,0.057735,0.467121,0.493045,0.730582,-0.237537
NALCO,FY2022-23,0.001834,-0.140692,-1.225674,-0.297373,-0.928301
NALCO,FY2023-24,0.006432,-0.256508,-1.153155,-0.53547,-0.617685
NMDC,FY2022-23,0.017757,-0.088481,-0.693064,-0.210814,-0.48225
NMDC,FY2023-24,0.013427,-0.15416,-0.928701,-0.356404,-0.572297
NTPC,FY2022-23,0.029997,0.258941,-0.283629,0.36516,-0.648789
NTPC,FY2023-24,0.01348,-0.323951,-0.927015,-0.653469,-0.273546
Nestle India,FY2023-24,0.065502,0.259405,0.742242,0.367164,0.375078
ONGC,FY2022-23,0.031791,-0.737694,-0.223626,-1.287114,1.063488
ONGC,FY2023-24,0.044035,-0.856864,0.053414,-1.585845,1.639259
Oracle Financial,FY2023-24,0.016816,0.440548,-0.819957,0.684089,-1.504047
PNB,FY2022-23,0.034408,0.26107,-0.136084,0.36869,-0.504774
PNB,FY2023-24,0.013581,0.287807,-0.923773,0.416857,-1.34063
Paytm,FY2022-23,-0.006566,0.738509,-1.506633,1.160213,-2.666846
Paytm,FY2023-24,0.030348,0.792163,-0.385766,1.299271,-1.685037
Persistent Systems,FY2022-23,0.052974,0.927647,0.484939,1.473777,-0.988838
Persistent Systems,FY2023-24,0.055263,0.975901,0.413707,1.620737,-1.20703
Pidilite,FY2022-23,0.012636,0.439829,-0.864369,0.665046,-1.529415
Pidilite,FY2023-24,-0.001815,0.233356,-1.417779,0.321589,-1.739368
PolicyBazaar,FY2022-23,0.027562,0.930106,-0.365093,1.477853,-1.842946
PolicyBazaar,FY2023-24,0.028896,0.79591,-0.432336,1.305826,-1.738162
Power Grid,FY2022-23,0.07322,0.010646,1.162139,-0.046477,1.208617
Power Grid,FY2023-24,0.040517,0.054605,-0.059443,0.008849,-0.068291
Reliance Industries,FY2022-23,0.070914,-0.72059,1.085002,-1.258759,2.343761
Reliance Industries,FY2023-24,0.056413,-0.538175,0.450609,-1.028271,1.47888
SAIL,FY2022-23,0.024822,-1.214862,-0.45674,-2.07819,1.621451
SAIL,FY2023-24,0.028136,-1.32227,-0.456739,-2.400114,1.943375
SBI,FY2023-24,0.003987,-0.286468,-1.231616,-0.587889,-0.643727
SBI Life,FY2022-23,0.08137,0.91373,1.434755,1.450705,-0.01595
SBI Life,FY2023-24,0.102356,0.447856,1.924807,0.696876,1.227931
Shree Cement,FY2022-23,0.027532,-0.69619,-0.366097,-1.218308,0.852211
Shree Cement,FY2023-24,0.026774,-0.635406,-0.500446,-1.198386,0.69794
Shriram Finance,FY2022-23,0.040709,0.34677,0.074665,0.510768,-0.436104
Shriram Finance,FY2023-24,0.036561,0.378352,-0.186397,0.575273,-0.76167
Siemens India,FY2022-23,0.01879,0.546545,-0.658522,0.841966,-1.500489
Siemens India,FY2023-24,0.039977,0.528436,-0.076776,0.837858,-0.914633
Sun Pharma,FY2022-23,0.04233,0.173909,0.128905,0.224189,-0.095284
Sun Pharma,FY2023-24,0.063359,0.075873,0.673486,0.046059,0.627426
TCS,FY2022-23,0.036133,0.340713,-0.078406,0.500726,-0.579132
TCS,FY2023-24,0.024428,0.432018,-0.575707,0.669166,-1.244873
TVS Motor,FY2022-23,0.000941,0.11651,-1.255551,0.12903,-1.38458
TVS Motor,FY2023-24,0.038701,0.821461,-0.11774,1.350531,-1.46827
Tata Consumer,FY2022-23,0.08086,0.56837,1.417691,0.878149,0.539542
Tata Consumer,FY2023-24,0.11032,0.052926,2.180379,0.00591,2.174468
