company,year,event_date,GDS,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p5,CAR_m5_p5,CAR_m5_p20,log_mcap,leverage,sector
Colgate India,FY2022-23,2023-07-10,-0.842771,0.006603921175732756,0.01184150239628697,0.014833310103465818,0.03087421920705476,0.07450842859384285,0.15538394458005203,26.739368,0.02392,FMCG
Colgate India,FY2023-24,2024-07-02,-0.783556,0.0019862309366125057,0.0013497708853329815,-0.0002639481407118718,0.027904554581686558,0.020444289758306085,0.1133436550721416,27.326093,0.022446,FMCG
Cummins India,FY2022-23,2023-07-10,-1.296861,-0.005879893348225673,-0.015883684417731636,-0.014853969443490067,-0.03088763743887793,-0.06861163489441081,-0.1794982085723222,26.83634,0.047494,Infrastructure
Cummins India,FY2023-24,2024-07-12,-2.581788,-0.017118837859915914,-0.05312265859609325,-0.04096014630225567,-0.10510276738857303,-0.1342662652576337,-0.11320394600596957,27.448699,0.014155,Infrastructure
Dabur,FY2022-23,2023-07-05,2.955003,0.020457373924846735,0.01037625991763367,0.016010651203117617,0.0032746160208962584,0.002619097404911713,-0.03785335098605679,27.595844,0.085964,FMCG
Dabur,FY2023-24,2024-07-10,1.727949,0.0035529705821689115,0.009358720420523665,-0.00040396267474881965,0.021966442262288624,0.06269461188925078,0.060047440773436093,27.555265,0.090268,FMCG
Divi's Labs,FY2022-23,2023-08-11,-0.342114,-0.015823479927510074,0.0026276034711590537,-0.000986990808821581,-0.018840829495745205,-0.015699622737114737,-0.012896688014828671,27.342686,0.000277,Pharma
Divi's Labs,FY2023-24,2024-07-15,0.768892,0.004876594001084998,-0.008268007190773016,0.003665161488552667,0.0008518955903276824,-0.02203276511587437,0.050655643275222345,27.541773,0.000194,Pharma
Dr Reddy's,FY2022-23,2023-09-01,0.11522,-0.009912043518637018,-0.006701533292875919,0.0009310838411700165,-0.024230885067859555,-0.08190872634991103,-0.11567430383859167,27.367187,0.041857,Pharma
Dr Reddy's,FY2023-24,2024-07-12,-1.16468,0.016903070075350128,0.025071532523909576,0.02571166348518445,0.02492965579766729,0.03852950478103216,0.048854559511459346,27.656168,0.051662,Pharma
Eicher Motors,FY2022-23,2023-07-31,-1.023054,-0.003491191677599755,0.018815652874012885,0.012181949568981085,0.0014237674073689444,0.011816975764813213,0.01710605866798242,27.416544,0.015023,Auto
Eicher Motors,FY2023-24,2024-07-30,0.74272,-0.003976322716174976,-0.01872601126184484,-0.005037630366233926,-0.03465971398234898,-0.02951065732460883,-0.01054122711088887,27.726792,0.018136,Auto
Emami,FY2022-23,2023-09-07,-0.633916,-0.0004986469744898908,0.027566637352083884,0.015599562202964112,0.05092475043193885,0.05724806572009042,-0.03548512485498095,25.786964,0.029104,FMCG
Emami,FY2023-24,2024-08-05,-0.174294,-0.024784740158138075,-0.044250789763921015,0.007007621327217956,0.033379152936466525,0.0034611051136177132,-0.025014960132297002,25.956571,0.028648,FMCG
Escorts Kubota,FY2022-23,2023-06-22,-1.008081,-0.0020044183176226747,0.0042916630333885075,0.001173274622587013,0.018013553026965747,0.00169090773453222,0.007228290139224383,26.226126,0.005682,Auto
Escorts Kubota,FY2023-24,2024-06-25,-1.174761,-0.016441451694170932,-0.03099363372785361,-0.007924033362625038,-0.05233235076522868,-0.07236372599811734,-0.09958322710689577,26.430958,0.036161,Auto
Federal Bank,FY2022-23,2023-07-31,-1.567342,-0.00619832173118815,-0.0003154279482558116,-0.009803019994172647,-0.01125163423716709,-0.004919375313271864,0.07191803043937459,26.35796,0.096498,Banking
