company,year,LPS,OPS,zLPS,zOPS,GDS,ticker,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year,sector,ticker_tracker,event_date,date_type,event_study_ready,sector_clean
Cipla,FY2022-23,0.004485,0.142908,-0.860427,0.172794,-1.033222,CIPLA.NS,726839108996.5,27.311971,8031200000.0,294632800000.0,0.027258,mcap=2023-03-31;bs=2023-03-31,Pharma,CIPLA.NS,2023-07-18,brsr_filing,True,Pharma
Cipla,FY2023-24,-0.006331,-0.025299,-1.189816,-0.130951,-1.058865,CIPLA.NS,1208588084038.68,27.820474,5594100000.0,327178200000.0,0.017098,mcap=2024-03-28;bs=2024-03-31,Pharma,CIPLA.NS,2024-07-26,brsr_filing,True,Pharma
Coal India,FY2022-23,0.052125,-0.844673,0.635525,-1.46447,2.099995,COALINDIA.NS,1316666869449.24,27.906125,43314200000.0,2224306600000.0,0.019473,mcap=2023-03-31;bs=2023-03-31,Energy,COALINDIA.NS,2023-08-11,brsr_filing,True,Energy
Coal India,FY2023-24,0.043155,-0.900036,0.387301,-1.661379,2.04868,COALINDIA.NS,2675240404365.01,28.61506,65230300000.0,2376722600000.0,0.027445,mcap=2024-03-28;bs=2024-03-31,Energy,COALINDIA.NS,2024-07-27,brsr_filing,True,Energy
Coforge,FY2022-23,0.007255,0.356363,-0.773447,0.526671,-1.300119,COFORGE.NS,232992234065.08,26.174271,5622000000.0,56834000000.0,0.09892,mcap=2023-03-31;bs=2023-03-31,IT,COFORGE.NS,2023-10-27,brsr_filing,True,IT
Coforge,FY2023-24,0.05646,0.942725,0.811332,1.562692,-0.75136,COFORGE.NS,340166914411.8,26.552702,7260000000.0,61077000000.0,0.118866,mcap=2024-03-28;bs=2024-03-31,IT,COFORGE.NS,2024-08-01,brsr_filing,True,IT
Colgate India,FY2022-23,0.004703,0.120846,-0.853593,0.136219,-0.989812,COLPAL.NS,409977538769.63,26.739368,689615000.0,28829893000.0,0.02392,mcap=2023-03-31;bs=2023-03-31,FMCG,COLPAL.NS,2023-07-10,brsr_filing,True,FMCG
Colgate India,FY2023-24,0.012549,0.094898,-0.588123,0.079345,-0.667468,COLPAL.NS,737176289673.0,27.326093,717500000.0,31965300000.0,0.022446,mcap=2024-03-28;bs=2024-03-31,FMCG,COLPAL.NS,2024-07-02,brsr_filing,True,FMCG
Cummins India,FY2022-23,0.012372,0.608711,-0.612787,0.945028,-1.557815,CUMMINSIND.NS,451725113232.42,26.83634,3760900000.0,79186400000.0,0.047494,mcap=2023-03-31;bs=2023-03-31,Infrastructure,CUMMINSIND.NS,2023-07-10,brsr_filing,True,Infrastructure
Cummins India,FY2023-24,0.002985,1.013114,-0.892905,1.685845,-2.57875,CUMMINSIND.NS,833332500000.0,27.448699,1269800000.0,89705100000.0,0.014155,mcap=2024-03-28;bs=2024-03-31,Infrastructure,CUMMINSIND.NS,2024-07-12,brsr_filing,True,Infrastructure
Dabur,FY2022-23,0.131466,0.376752,3.126987,0.560474,2.566512,DABUR.NS,965433954789.54,27.595844,11737900000.0,136543700000.0,0.085964,mcap=2023-03-31;bs=2023-03-31,FMCG,DABUR.NS,2023-07-05,brsr_filing,True,FMCG
Dabur,FY2023-24,0.106619,0.240246,2.409861,0.333643,2.076218,DABUR.NS,927042330862.97,27.555265,13650900000.0,151226800000.0,0.090268,mcap=2024-03-28;bs=2024-03-31,FMCG,DABUR.NS,2024-07-10,brsr_filing,True,FMCG
Divi's Labs,FY2022-23,-0.016814,-0.376872,-1.529269,-0.688925,-0.840344,DIVISLAB.NS,749510741267.67,27.342686,40000000.0,144390000000.0,0.000277,mcap=2023-03-31;bs=2023-03-31,Pharma,DIVISLAB.NS,2023-08-11,brsr_filing,True,Pharma
Divi's Labs,FY2023-24,0.043166,-0.375331,0.387629,-0.743361,1.13099,DIVISLAB.NS,914618911636.33,27.541773,30000000.0,154700000000.0,0.000194,mcap=2024-03-28;bs=2024-03-31,Pharma,DIVISLAB.NS,2024-07-15,brsr_filing,True,Pharma
