company,ticker,year,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year
Hero MotoCorp,HEROMOTOCO.NS,FY2023-24,944090398477.08,27.573488,6064100000.0,261527900000.0,0.023187,mcap=2024-03-28;bs=2024-03-31
Hindalco Industries,HINDALCO.NS,FY2022-23,900549646485.73,27.526271,602910000000.0,2248170000000.0,0.268178,mcap=2023-03-31;bs=2023-03-31
Hindalco Industries,HINDALCO.NS,FY2023-24,1244104320357.0,27.849437,563560000000.0,2319070000000.0,0.243011,mcap=2024-03-28;bs=2024-03-31
Hindustan Unilever,HINDUNILVR.NS,FY2022-23,6015776217113.97,29.425407,12190000000.0,730870000000.0,0.016679,mcap=2023-03-31;bs=2023-03-31
Hindustan Unilever,HINDUNILVR.NS,FY2023-24,5320297203561.97,29.30255,14840000000.0,784990000000.0,0.018905,mcap=2024-03-28;bs=2024-03-31
ICICI Bank,ICICIBANK.NS,FY2022-23,6125675100019.75,29.44351,1835094403000.0,19584904970000.0,0.093699,mcap=2023-03-31;bs=2023-03-31
ICICI Bank,ICICIBANK.NS,FY2023-24,7677519901379.38,29.669318,2009987053000.0,23640630275000.0,0.085023,mcap=2024-03-28;bs=2024-03-31
ICICI Lombard,ICICIGI.NS,FY2022-23,525258297658.5,26.987156,350000000.0,550862045000.0,0.000635,mcap=2023-03-31;bs=2023-03-31
ICICI Lombard,ICICIGI.NS,FY2023-24,829928379427.5,27.444605,350000000.0,633082900000.0,0.000553,mcap=2024-03-28;bs=2024-03-31
IDFC First Bank,IDFCFIRSTB.NS,FY2022-23,364327600921.57,26.621319,572120920000.0,2398820511000.0,0.238501,mcap=2023-03-31;bs=2023-03-31
IDFC First Bank,IDFCFIRSTB.NS,FY2023-24,533072269304.05,27.001923,439357300000.0,2962097800000.0,0.148326,mcap=2024-03-28;bs=2024-03-31
ITC,ITC.NS,FY2022-23,4589393344207.41,29.154769,3063400000.0,858829800000.0,0.003567,mcap=2023-03-31;bs=2023-03-31
ITC,ITC.NS,FY2023-24,5149507547787.9,29.269922,3037300000.0,918261600000.0,0.003308,mcap=2024-03-28;bs=2024-03-31
Indian Oil Corporation,IOC.NS,FY2022-23,1072804599465.83,27.701297,1489770800000.0,4417184800000.0,0.337267,mcap=2023-03-31;bs=2023-03-31
